Region,Seed,School,SRS
1,1,Gonzaga,25.46
1,16,Georgia State,-1.11
1,8,Boise State,11.93
1,9,Memphis,14.67
1,4,Arkansas,16.27
1,13,Vermont,7.81
1,5,Uconn,16.4
1,12,New Mexico State,7.11
1,3,Texas Tech,20.08
1,14,Montana State,-0.26
1,6,Alabama,14.62
1,11,Notre Dame,11.87
1,7,Michigan State,13.18
1,10,Davidson,10.43
1,2,Duke,19.55
1,15,Cal State Fullerton,-0.04
2,1,Baylor,21.73
2,16,Norfolk State,-3.91
2,8,North Carolina,15.5
2,9,Marquette,11.36
2,4,UCLA,19.3
2,13,Akron,0.91
2,5,St. Mary’s,14.82
2,12,Indiana,12.71
2,3,Purdue,19.15
2,14,Yale,-0.1
2,6,Texas,17.01
2,11,Virginia Tech,14.48
2,7,Murray State,9.87
2,10,San Francisco,14.12
2,2,Kentucky,20.9
2,15,St. Peter's,2.96
3,1,Arizona,22.75
3,16,Wright State,-1.94
3,8,Seton Hall,12.75
3,9,TCU,13.72
3,4,Illinois,16.69
3,13,Chattanooga,6.12
3,5,Houston,22.55
3,12,UAB,10.9
3,3,Tennessee,20.46
3,14,Longwood,-0.35
3,6,Colorado State,11.51
3,11,Michigan,14.26
3,7,Ohio State,14.17
3,10,Loyola Chicago,13.39
3,2,Villanova,19.31
3,15,Delaware,0.32
4,1,Kansas,22.28
4,16,Texas Southern,-3.3
4,8,San Diego State,13.13
4,9,Creighton,11.34
4,4,Providence,13.08
4,13,South Dakota State,6.6
4,5,Iowa,18.9
4,12,Richmond,7.07
4,3,Wisconsin,13.13
4,14,Colgate,0.98
4,6,LSU,17.45
4,11,Iowa State,12.38
4,7,USC,12.5
4,10,Miami,11.22
4,2,Auburn,19.2
4,15,Jacksonville State,-0.19
